"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204570_at",934.192790697675,742.174155813953,7.84736091864064,1.13680914211772e-11,8.1714574560675e-09,-4.28543109521879
"201839_s_at",-1866.17520930233,1587.56337209302,-7.832194694246,1.21938089769519e-11,8.49108266979432e-09,-4.28614869659317
"219064_at",1567.68727906977,1571.2051744186,7.81105314544215,1.34454644171035e-11,8.88843093310582e-09,-4.2871505707831
"216379_x_at",-2869.2831627907,3510.73981395349,-7.80736623197936,1.36764943623169e-11,8.88843093310582e-09,-4.28732547341178
"209496_at",1438.41586511628,1141.23453488372,7.80290877438935,1.39610951244762e-11,8.88843093310582e-09,-4.28753700253947
"221748_s_at",3169.02355813954,4025.47891860465,7.79242102261123,1.46542064868358e-11,8.96168143263264e-09,-4.28803501407587
"202286_s_at",-2752.39290232558,2352.42545581395,-7.78910363542556,1.48805014139661e-11,8.96168143263264e-09,-4.28819263210654
"209555_s_at",3490.69043488372,3209.09092209302,7.77821374147707,1.56481082917823e-11,9.17596834383642e-09,-4.2887103497515
"203323_at",2423.98404651163,2988.65586046512,7.75076575638246,1.77623890508468e-11,1.01487003902569e-08,-4.29001735654305
"216594_x_at",3178.2268372093,3546.5968372093,7.73436072719978,1.91594941846176e-11,1.06732752228959e-08,-4.29079995500528
"209493_at",1408.60718604651,1473.63554651163,7.70848736528312,2.1588613638532e-11,1.17331482367661e-08,-4.29203640464167
"209612_s_at",3487.21151162791,3259.70791860465,7.61593112259074,3.30719090637237e-11,1.7546222611118e-08,-4.29648106033593
"204719_at",1622.61916046512,1418.88930348837,7.60557683098284,3.46864510787058e-11,1.79748416136465e-08,-4.29698036102118
"208510_s_at",472.701227906977,412.631390697674,7.59927134914179,3.57078556447646e-11,1.8083594257552e-08,-4.29728462473
"221928_at",1101.25405348837,960.353368604651,7.59342520562227,3.668157823717e-11,1.81639023968635e-08,-4.2975668607933
"214505_s_at",1082.32279302326,931.983210465116,7.57867026048129,3.9258268599216e-11,1.8838831579009e-08,-4.29827977574312
"218723_s_at",996.805720930233,1152.39806976744,7.5760438810399,3.97354523274883e-11,1.8838831579009e-08,-4.29840676242115
"214456_x_at",2811.6537627907,2017.05874651163,7.56428802743087,4.19431005014138e-11,1.94712105931876e-08,-4.2989754881908
"214414_x_at",4092.50253488373,3677.67687209302,7.54162232017263,4.65498606031414e-11,2.11687866085673e-08,-4.30007350641292
"209613_s_at",2698.82099069768,2681.78387674419,7.49142321522216,5.86235485390444e-11,2.54027970864721e-08,-4.30251231759112
"209763_at",1684.42890697674,2434.91605813953,7.489070606405,5.92601912142212e-11,2.54027970864721e-08,-4.30262684791392
"208383_s_at",1305.60742790698,1021.54155116279,7.48899629189038,5.92804132521002e-11,2.54027970864721e-08,-4.30263046605284
"219737_s_at",724.808288372093,662.460041860465,7.47899272251116,6.2066145933488e-11,2.60947156572814e-08,-4.30311769818755
"204042_at",1623.20409302326,2460.111,7.41081329461936,8.48504659309686e-11,3.50133876359217e-08,-4.30644841580487
"212097_at",3009.10439534884,3553.78208139535,7.35778375852216,1.08173511882634e-10,4.3826006641468e-08,-4.30905093726693
"266_s_at",-2370.62861860465,1587.79612093023,-7.33014055599081,1.22755759673324e-10,4.8845832014298e-08,-4.3104116586666
"211696_x_at",5028.40167441861,4896.9703255814,7.30169230548528,1.39804329745248e-10,5.46536821002344e-08,-4.31181490012682
"210517_s_at",1623.21828837209,1851.26548372093,7.2641977212845,1.659178640918e-10,6.3743926992372e-08,-4.31366880502931
"203853_s_at",617.210697674419,958.555,7.25539077326574,1.7272337455667e-10,6.52338128007843e-08,-4.31410498874375
"203324_s_at",1050.49335581395,1106.52660116279,7.23154597149618,1.92573714625435e-10,7.15186680499762e-08,-4.31528733564883
"218736_s_at",1390.53306976744,1330.78272093023,7.19714973965989,2.25264698537463e-10,8.22880865165621e-08,-4.31699640363762
"202931_x_at",535.328162790698,541.63261627907,7.1896201667761,2.33126072004216e-10,8.33982129301275e-08,-4.31737108262779
"209160_at",1615.71163023256,1240.85659651163,7.18712668203213,2.35789050603511e-10,8.33982129301275e-08,-4.3174952044123
"203414_at",1863.25706976744,2604.74555813953,7.18085047912153,2.42626408265997e-10,8.44756914904878e-08,-4.31780771969106
"202988_s_at",-451.951593023256,357.096815116279,-7.15832610374125,2.6882692303742e-10,9.21580050160436e-08,-4.31893041538531
"212419_at",906.607325581396,1377.41515116279,7.15158210102865,2.77204996668742e-10,9.33716295986444e-08,-4.3192669014065
"209116_x_at",4812.90922325582,3493.39432790698,7.14879114605344,2.80747618503306e-10,9.33716295986444e-08,-4.31940619940449
"213706_at",1074.93151860465,767.760673255814,7.14501126294402,2.85617312139302e-10,9.35942730352952e-08,-4.3195948979803
